status,unique_id,room_type_name,rate_plan_name,checkin_date,checkout_date,customer_first_name,customer_last_name,room_amount,ota_source,ota_res_id,occupancy,customer_email,customer_telephone,room_total,booking_total,currency,payment_type,payment_method,created_date,last_modified_date,cancelled_date
new,OFL-878778,Standard Room,Standard Rate,2025-08-29,2025-08-30,Prudnikov,Konstantin,1,Offline,878778,A:2 C:0 I:0,prudnik47@gmail.com,0774850000,100.00,100.00,USD,property,credit_card,2025-08-29T12:23:25.076109,N/A,N/A
new,ABB-AIRBNB-1756469251528,Standard Room,Standard Rate,2025-09-08,2025-09-09,Prudnikov77,Konstantin77,1,Airbnb,AIRBNB-1756469251528,A:2 C:0 I:0,prudnik47@gmail.com,+94774850000,100.00,100.00,USD,N/A,N/A,2025-08-29T12:07:31.598389,N/A,N/A
new,ABB-AIRBNB-1756467770477,Standard Room,Standard Rate,2025-09-10,2025-09-12,John,Doe,1,Airbnb,AIRBNB-1756467770477,A:2 C:0 I:0,john.doe@example.com,+1234567890,200.00,200.00,USD,N/A,N/A,2025-08-29T11:42:51.435579,N/A,N/A
new,ABB-AIRBNB-1756466844496,Standard Room,Standard Rate,2025-09-08,2025-09-09,Prudnikov777,Konstantin777,1,Airbnb,AIRBNB-1756466844496,A:2 C:0 I:0,prudnik47@gmail.com,+94774850000,100.00,100.00,USD,N/A,N/A,2025-08-29T11:27:24.883664,N/A,N/A
new,ABB-AIRBNB-1756417581164,Deluxe Room,Deluxe Rate,2025-09-01,2025-09-05,Иван,Петров,1,Airbnb,AIRBNB-1756417581164,A:2 C:0 I:0,ivan.petrov@test.com,+79991234567,1200.00,1200.00,USD,N/A,N/A,2025-08-28T21:46:19.945417,N/A,N/A
new,ABB-AIRBNB-1756416105835,Standard Room,Standard Rate,2025-09-06,2025-09-08,Prudnikov77,Konstantin77,1,Airbnb,AIRBNB-1756416105835,A:2 C:0 I:0,prudnik47@gmail.com,+94774850000,200.00,200.00,USD,N/A,N/A,2025-08-28T21:21:44.408658,N/A,N/A
new,ABB-AIRBNB-1756415960820,Standard Room,Standard Rate,2025-09-06,2025-09-08,Prudnikov66,Konstantin66,1,Airbnb,AIRBNB-1756415960820,A:2 C:0 I:0,prudnik47@gmail.com,+94774850000,200.00,200.00,USD,N/A,N/A,2025-08-28T21:19:19.403231,N/A,N/A
new,ABB-AIRBNB-1756415875508,Standard Room,Standard Rate,2025-09-06,2025-09-08,Prudnikov555,Konstantin555,1,Airbnb,AIRBNB-1756415875508,A:2 C:0 I:0,prudnik47@gmail.com,+94774850000,200.00,200.00,USD,N/A,N/A,2025-08-28T21:17:54.070624,N/A,N/A
new,ABB-AIRBNB-1756415752806,Standard Room,Standard Rate,2025-09-01,2025-09-04,Prudnikov444,Konstantin444,1,Airbnb,AIRBNB-1756415752806,A:2 C:0 I:0,prudnik47@gmail.com,+94774850000,300.00,300.00,USD,N/A,N/A,2025-08-28T21:15:51.530744,N/A,N/A
new,ABB-AIRBNB-1756413602601,Deluxe Room,Deluxe Rate,2025-09-20,2025-09-25,Villa Fixed,Test Debug,1,Airbnb,AIRBNB-1756413602601,A:2 C:0 I:0,villa.fixed@test.com,+9999999999,1500.00,1500.00,USD,N/A,N/A,2025-08-28T20:40:01.458478,N/A,N/A
new,ABB-AIRBNB-1756413078376,Deluxe Room,Deluxe Rate,2025-09-10,2025-09-15,Villa Test,Guest Debug,1,Airbnb,AIRBNB-1756413078376,A:2 C:0 I:0,villa.test@debug.com,+1234567890,1500.00,1500.00,USD,N/A,N/A,2025-08-28T20:31:17.439146,N/A,N/A
new,ABB-AIRBNB-1756400501116,Deluxe Room,Deluxe Rate,2025-09-01,2025-09-06,Prudnikov444,Konstantin444,1,Airbnb,AIRBNB-1756400501116,A:2 C:0 I:0,prudnik47@gmail.com,+94774850000,1500.00,1500.00,USD,N/A,N/A,2025-08-28T17:01:40.225975,N/A,N/A
new,ABB-AIRBNB-1756400240847,Standard Room,Standard Rate,2025-08-30,2025-08-31,Prudnikov333,Konstantin333,1,Airbnb,AIRBNB-1756400240847,A:2 C:0 I:0,prudnik47@gmail.com,+94774850000,100.00,100.00,USD,N/A,N/A,2025-08-28T16:57:19.981471,N/A,N/A
new,ABB-AIRBNB-1756394369008,Deluxe Room,Deluxe Rate,2025-08-29,2025-08-31,Prudnikov22,Konstantin22,1,Airbnb,AIRBNB-1756394369008,A:2 C:0 I:0,prudnik47@gmail.com,+94774850000,400.00,400.00,USD,N/A,N/A,2025-08-28T15:19:29.517893,N/A,N/A
new,ABB-AIRBNB-1756389544586,Deluxe Room,Deluxe Rate,2025-08-30,2025-08-31,Иван,Петров,1,Airbnb,AIRBNB-1756389544586,A:2 C:0 I:0,ivan.petrov@test.com,+7 (999) 123-45-67,200.00,200.00,USD,N/A,N/A,2025-08-28T13:59:04.926756,N/A,N/A
new,ABB-AIRBNB-1756388024555,Standard Room,Standard Rate,2025-08-29,2025-08-30,Prudnikov,Konstantin,1,Airbnb,AIRBNB-1756388024555,A:2 C:0 I:0,prudnik47@gmail.com,+94774850000,100.00,100.00,USD,N/A,N/A,2025-08-28T13:33:44.933062,N/A,N/A
new,ABB-AIRBNB-1756387552814,Standard Room,Standard Rate,2025-08-29,2025-08-31,Тест,Пользователь,1,Airbnb,AIRBNB-1756387552814,A:2 C:0 I:0,test@example.com,+7 999 123-45-67,200.00,200.00,USD,N/A,N/A,2025-08-28T13:25:53.177671,N/A,N/A
new,ABB-AIRBNB-1756387391678,Standard Room,Standard Rate,2025-08-29,2025-08-31,Тест,Пользователь,1,Airbnb,AIRBNB-1756387391678,A:2 C:0 I:0,test@example.com,+7 999 123-45-67,200.00,200.00,USD,N/A,N/A,2025-08-28T13:23:11.872211,N/A,N/A
new,ABB-AIRBNB-1756387297609,Standard Room,Standard Rate,2025-08-29,2025-08-31,Тест,Пользователь,1,Airbnb,AIRBNB-1756387297609,A:2 C:0 I:0,test@example.com,+7 999 123-45-67,200.00,200.00,USD,N/A,N/A,2025-08-28T13:21:38.262037,N/A,N/A
new,ABB-AIRBNB-1756386974282,Standard Room,Standard Rate,2025-08-29,2025-08-30,Prudnikov,Konstantin,1,Airbnb,AIRBNB-1756386974282,A:2 C:0 I:0,prudnik47@gmail.com,+94774850000,100.00,100.00,USD,N/A,N/A,2025-08-28T13:16:14.645699,N/A,N/A
